Player,Inns,Runs,Ave,BF,SR,4s,6s
HH Gibbs,3,81,40.5,88,92.04,8,2
DR Smith,6,157,39.25,98,160.2,18,7
AT Rayudu,15,333,37,252,132.14,21,14
RG Sharma,16,433,30.92,342,126.6,39,18
SR Tendulkar,13,324,29.45,283,114.48,39,4
JEC Franklin,11,220,24.44,223,98.65,15,6
KA Pollard,11,220,24.44,159,138.36,15,14
KD Karthik,14,238,18.3,213,111.73,30,2
RE Levi,6,83,13.83,73,113.69,10,4
Harbhajan Singh,11,108,12,80,135,14,3
RJ Peterson,5,32,10.66,30,106.66,3,1
SL Malinga,6,55,9.16,53,103.77,4,3
CJ McKay,1,8,8,15,53.33,0,0
TL Suman,2,15,7.5,19,78.94,1,1
NLTC Perera,2,4,4,9,44.44,0,0
RP Singh,5,6,3,12,50,0,0
PP Ojha,3,4,2,14,28.57,0,0
AC Blizzard,1,0,0,3,0,0,0
DJ Jacobs,1,0,0,10,0,0,0
SA Yadav,1,0,0,4,0,0,0
DS Kulkarni,1,10,-,5,200,2,0
MM Patel,3,2,-,7,28.57,0,0
