Player,Inns,Runs,Ave,BF,SR,4s,6s
Abhishek Sharma,3,63,63,33,190.9,3,5
HV Patel,2,60,60,33,181.81,1,6
V Shankar,11,212,53,148,143.24,11,11
RR Pant,14,684,52.61,394,173.6,68,37
CH Morris,4,46,46,26,176.92,3,2
SS Iyer,14,411,37.36,310,132.58,29,21
JJ Roy,5,120,30,94,127.65,9,7
PP Shaw,9,245,27.22,160,153.12,27,10
G Gambhir,5,85,17,88,96.59,8,1
R Tewatia,5,50,16.66,43,116.27,5,1
GJ Maxwell,12,169,14.08,120,140.83,14,9
DT Christian,3,26,13,33,78.78,0,1
C Munro,5,63,12.6,41,153.65,7,4
Mohammed Shami,1,7,7,6,116.66,1,0
NV Ojha,1,1,1,4,25,0,0
LE Plunkett,2,1,1,3,33.33,0,0
TA Boult,1,0,0,2,0,0,0
S Nadeem,1,6,-,8,75,0,0
A Mishra,1,1,-,2,50,0,0
