Player,Inns,Runs,Ave,BF,SR,4s,6s
AD Russell,13,510,56.66,249,204.81,31,52
N Rana,11,344,34.4,235,146.38,27,21
Shubman Gill,13,296,32.88,238,124.36,21,10
KD Karthik,13,253,31.62,173,146.24,22,14
RV Uthappa,11,282,31.33,245,115.1,28,10
CA Lynn,13,405,31.15,290,139.65,41,22
RK Singh,3,37,18.5,34,108.82,1,2
SP Narine,9,143,17.87,86,166.27,17,9
PP Chawla,5,42,14,37,113.51,4,2
NS Naik,1,7,7,16,43.75,1,0
Kuldeep Yadav,4,12,6,8,150,1,0
CR Brathwaite,2,11,5.5,10,110,1,0
JL Denly,1,0,0,1,0,0,0
M Prasidh Krishna,1,0,0,2,0,0,0
KC Cariappa,1,9,-,3,300,0,1
HF Gurney,1,1,-,5,20,0,0
Y Prithvi Raj,1,0,-,1,0,0,0
