Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
AJ Finch,1,1.1,0,5,0,-,4.28,-
YK Pathan,11,34,0,246,5,49.2,7.23,40.8
SK Trivedi,10,35.3,0,260,11,23.63,7.32,19.3
SK Warne,14,50,0,381,11,34.63,7.62,27.2
AD Mascarenhas,2,8,0,65,4,16.25,8.12,12
SW Tait,8,31.1,0,260,10,26,8.34,18.7
SR Watson,6,22,0,184,6,30.66,8.36,22
AC Voges,7,9,0,76,0,-,8.44,-
Kamran Khan,3,6,0,53,3,17.66,8.83,12
MM Patel,4,13,0,118,3,39.33,9.07,26
M Morkel,2,7,0,66,0,-,9.42,-
FY Fazal,2,2,0,20,0,-,10,-
AP Dole,3,11,0,112,5,22.4,10.18,13.2
A Uniyal,2,6,0,66,2,33,11,18
AA Jhunjhunwala,5,6.1,0,69,0,-,11.18,-
S Narwal,5,15.4,0,185,5,37,11.8,18.8
SB Wagh,1,1,0,16,1,16,16,6
