Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
SL Malinga,14,55.3,1,350,22,15.9,6.3,15.1
Harbhajan Singh,16,54,1,384,6,64,7.11,54
DR Smith,6,13,0,95,2,47.5,7.3,39
PP Ojha,9,30,0,220,9,24.44,7.33,20
RP Singh,11,41,0,318,10,31.8,7.75,24.6
MM Patel,12,46.4,2,367,15,24.46,7.86,18.6
KA Pollard,14,43.5,0,350,16,21.87,7.98,16.4
DS Kulkarni,2,8,1,64,6,10.66,8,8
JEC Franklin,9,15,0,121,6,20.16,8.06,15
AN Ahmed,1,2,0,17,0,-,8.5,-
CJ McKay,2,7,0,60,1,60,8.57,42
RJ Peterson,4,8,0,70,3,23.33,8.75,16
R Shukla,1,3,0,31,0,-,10.33,-
NLTC Perera,2,2.3,0,27,0,-,10.8,-
RG Sharma,1,1,0,16,0,-,16,-
