Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
IS Sodhi,6,23,0,135,5,27,5.86,27.6
DJM Short,2,3,0,19,1,19,6.33,18
S Gopal,10,31,0,236,11,21.45,7.61,16.9
K Gowtham,15,40,0,312,11,28.36,7.8,21.8
BA Stokes,12,37,1,303,8,37.87,8.18,27.7
JC Archer,10,38.5,0,325,15,21.66,8.36,15.5
MK Lomror,2,3,0,27,0,-,9,-
DS Kulkarni,8,19.5,0,188,4,47,9.47,29.7
JD Unadkat,15,50.2,0,486,11,44.18,9.65,27.4
B Laughlin,7,20.5,0,211,9,23.44,10.12,13.8
Anureet Singh,3,4,0,42,1,42,10.5,24
Ankit Sharma,1,1,0,11,0,-,11,-
STR Binny,1,2,0,33,0,-,16.5,-
