Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
WPUJC Vaas,6,22,2,139,9,15.44,6.31,14.6
A Symonds,16,53,0,372,12,31,7.01,26.5
Harmeet Singh,8,24,0,174,8,21.75,7.25,18
PP Ojha,16,58.5,0,429,21,20.42,7.29,16.8
RJ Harris,8,30.4,0,233,14,16.64,7.59,13.1
RG Sharma,9,19,0,153,2,76.5,8.05,57
R Sharma,6,20.4,0,167,5,33.4,8.08,24.8
MR Marsh,3,10,0,88,2,44,8.8,30
RP Singh,12,42,0,370,13,28.46,8.8,19.3
DR Smith,2,3.5,0,36,1,36,9.39,23
Jaskaran Singh,6,14,0,139,6,23.16,9.92,14
KAJ Roach,2,8,0,80,0,-,10,-
Y Venugopal Rao,1,1,0,10,0,-,10,-
TL Suman,2,2,0,24,0,-,12,-
