Player,Inns,Runs,Ave,BF,SR,4s,6s
JR Hopes,8,196,39.2,158,124.05,22,3
V Sehwag,11,424,38.54,240,176.66,51,18
Y Venugopal Rao,14,336,28,280,120,30,13
DA Warner,13,324,24.92,276,117.39,34,11
M Morkel,5,40,20,25,160,3,2
IK Pathan,12,150,18.75,138,108.69,12,6
Y Nagar,10,111,15.85,100,111,6,6
TR Birt,5,75,15,58,129.31,9,2
NV Ojha,14,160,12.3,161,99.37,11,11
CA Ingram,3,21,10.5,26,80.76,2,0
AB McDonald,1,8,8,7,114.28,0,0
AJ Finch,6,47,7.83,46,102.17,3,3
MS Wade,3,22,7.33,33,66.66,0,0
AB Agarkar,2,7,7,6,116.66,1,0
S Sriram,1,4,4,7,57.14,0,0
UBT Chand,2,2,1,12,16.66,0,0
UT Yadav,2,1,1,5,20,0,0
AB Dinda,1,0,0,5,0,0,0
S Nadeem,2,0,0,1,0,0,0
RE van der Merwe,4,14,-,16,87.5,1,0
VR Aaron,1,0,-,5,0,0,0
