Player,Inns,Runs,Ave,BF,SR,4s,6s
CH Gayle,12,608,67.55,332,183.13,56,44
V Kohli,16,557,46.41,460,121.08,55,16
AB de Villiers,13,312,34.66,243,128.39,21,14
TM Dilshan,10,226,28.25,180,125.55,33,3
SS Tiwary,13,187,23.37,188,99.46,13,5
DL Vettori,4,23,23,28,82.14,1,1
MA Agarwal,7,141,20.14,120,117.5,16,4
M Kaif,4,41,13.66,33,124.24,5,0
LA Pomersbach,4,51,12.75,39,130.76,4,2
CA Pujara,3,34,11.33,31,109.67,4,0
Z Khan,2,21,10.5,24,87.5,2,0
A Mithun,6,27,9,20,135,3,1
JJ van der Wath,3,18,9,16,112.5,1,1
AUK Pathan,5,33,8.25,16,206.25,5,2
CK Langeveldt,1,8,8,8,100,0,1
KB Arun Karthik,2,7,3.5,8,87.5,1,0
R Ninan,1,3,3,6,50,0,0
J Syed Mohammad,2,15,-,12,125,2,0
S Aravind,2,13,-,8,162.5,2,0
