Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
MR Marsh,3,9,0,45,4,11.25,5,13.5
A Zampa,5,17,0,115,12,9.58,6.76,8.5
R Bhatia,10,34,1,244,6,40.66,7.17,34
R Ashwin,14,44,0,319,10,31.9,7.25,26.4
AB Dinda,9,30.3,2,231,11,21,7.57,16.6
IK Pathan,3,8,0,61,0,-,7.62,-
Ankit Sharma,3,11,0,84,1,84,7.63,66
SM Boland,2,7,0,54,2,27,7.71,21
DL Chahar,2,5,0,41,0,-,8.2,-
M Ashwin,10,28.3,0,241,7,34.42,8.45,24.4
RP Singh,4,12,0,111,3,37,9.25,24
NLTC Perera,11,33.1,0,326,9,36.22,9.82,22.1
I Sharma,4,15,0,148,3,49.33,9.86,30
JA Morkel,2,5,0,66,2,33,13.2,15
