Player,Inns,Runs,Ave,BF,SR,4s,6s
KD Karthik,16,498,49.8,337,147.77,49,16
Shubman Gill,11,203,33.83,139,146.04,22,5
CA Lynn,16,491,32.73,377,130.23,56,18
AD Russell,14,316,28.72,171,184.79,17,31
N Rana,15,304,23.38,232,131.03,26,14
SP Narine,16,357,22.31,188,189.89,40,23
RV Uthappa,16,351,21.93,265,132.45,30,21
Kuldeep Yadav,3,12,12,24,50.0,1,0
JPR Scantlebury-Searles,2,8,8,6,133.33,0,1
TK Curran,4,23,7.66,28,82.14,3,0
RK Singh,4,29,7.25,31,93.54,4,0
PP Chawla,7,27,6.75,34,79.41,1,1
Shivam Mavi,4,13,4.33,15,86.66,1,0
MG Johnson,2,16,-,11,145.45,2,0
R Vinay Kumar,1,6,-,3,200.0,1,0
M Prasidh Krishna,2,1,-,5,20.0,0,0
