Player,Inns,Runs,Ave,BF,SR,4s,6s
SA Yadav,14,512,36.57,384,133.33,61,16
JP Duminy,4,36,36,40,90.0,3,1
E Lewis,13,382,29.38,276,138.4,32,24
HH Pandya,13,260,28.88,195,133.33,20,11
BCJ Cutting,6,96,24,58,165.51,5,8
RG Sharma,14,286,23.83,215,133.02,25,12
Ishan Kishan,12,275,22.91,184,149.45,22,17
KH Pandya,13,228,22.8,157,145.22,22,10
KA Pollard,8,133,19,100,133.0,10,7
M Markande,6,21,10.5,24,87.5,2,0
JJ Bumrah,3,10,10,11,90.9,1,0
MJ McClenaghan,5,11,5.5,10,110.0,1,1
Mustafizur Rahman,2,1,1,3,33.33,0,0
PJ Sangwan,1,0,0,4,0.0,0,0
A Dananjaya,1,4,-,5,80.0,0,0
