Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
DL Vettori,13,51.4,0,311,12,25.91,6.01,25.8
CH Gayle,12,36,0,244,8,30.5,6.77,27
CK Langeveldt,3,11,0,84,5,16.8,7.63,13.2
Z Khan,15,59,1,455,14,32.5,7.71,25.2
DP Nannes,2,4,1,31,2,15.5,7.75,12
S Aravind,13,46,0,368,21,17.52,8,13.1
V Kohli,10,17,0,139,2,69.5,8.17,51
J Syed Mohammad,5,15,0,127,5,25.4,8.46,18
AUK Pathan,2,5.3,0,49,0,-,8.9,-
TM Dilshan,6,12,0,108,1,108,9,72
A Mithun,12,34,0,321,5,64.2,9.44,40.8
AA Kazi,1,2,0,21,0,-,10.5,-
JJ van der Wath,3,12,0,129,3,43,10.75,24
R Ninan,2,6,0,65,3,21.66,10.83,12
