Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
AD Mascarenhas,4,16,0,105,7,15,6.56,13.7
P Kumar,16,63,2,434,9,48.22,6.88,42
DJ Hussey,6,9,0,63,3,21,7,18
RJ Harris,5,18,0,130,8,16.25,7.22,13.5
PP Chawla,16,57,1,419,16,26.18,7.35,21.3
Azhar Mahmood,11,42.4,0,329,14,23.5,7.71,18.2
P Awana,12,47,0,372,17,21.88,7.91,16.5
BA Bhatt,5,16.3,0,136,2,68,8.24,49.5
Harmeet Singh,7,22.2,0,191,7,27.28,8.55,19.1
JP Faulkner,2,8,0,72,3,24,9,16
Bipul Sharma,3,7.4,0,79,0,-,10.3,-
RR Powar,1,3,0,32,0,-,10.66,-
AM Nayar,1,1,0,16,0,-,16,-
PC Valthaty,1,1,0,16,0,-,16,-
