Player,Inns,Runs,Ave,BF,SR,4s,6s
DA Warner,14,528,48,375,140.8,39,24
NV Ojha,10,232,38.66,161,144.09,14,17
S Dhawan,14,377,29,319,118.18,49,7
AJ Finch,13,309,28.09,263,117.49,31,9
IK Pathan,6,55,27.5,54,101.85,5,0
Y Venugopal Rao,5,71,23.66,63,112.69,8,0
KL Rahul,8,166,20.75,164,101.21,12,3
JO Holder,1,16,16,12,133.33,2,1
DJG Sammy,9,108,15.42,91,118.68,4,8
KV Sharma,8,42,10.5,29,144.82,1,3
DW Steyn,4,22,7.33,26,84.61,1,0
MC Henriques,2,9,4.5,14,64.28,1,0
A Mishra,2,4,4,7,57.14,0,0
S Anirudha,1,3,3,5,60,0,0
B Kumar,2,1,1,4,25,0,0
Parvez Rasool,1,0,-,0,-,0,0
