Player,Inns,Runs,Ave,BF,SR,4s,6s
J Suchith,6,48,48,32,150,4,2
LMP Simmons,13,540,45,441,122.44,56,21
KA Pollard,14,419,38.09,256,163.67,28,28
CJ Anderson,4,114,38,97,117.52,11,6
RG Sharma,16,482,34.42,333,144.74,41,21
AT Rayudu,14,281,31.22,193,145.59,18,16
PA Patel,14,339,26.07,246,137.8,47,5
HH Pandya,8,112,22.4,62,180.64,9,8
UBT Chand,5,102,20.4,83,122.89,13,2
Harbhajan Singh,10,117,16.71,73,160.27,9,9
MJ McClenaghan,3,13,13,6,216.66,0,2
AJ Finch,3,23,11.5,33,69.69,4,0
AP Tare,2,14,7,17,82.35,1,0
R Vinay Kumar,3,0,0,2,0,0,0
SL Malinga,1,6,-,10,60,1,0
S Gopal,1,1,-,1,100,0,0
JJ Bumrah,1,0,-,0,-,0,0
