Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
CV Varun,13,52,0,356,17,20.94,6.84,18.3
LH Ferguson,5,19.5,0,148,6,24.66,7.46,19.8
Kuldeep Yadav,4,12,0,92,1,92,7.66,72
PJ Cummins,14,52,0,409,12,34.08,7.86,26
SP Narine,10,38,0,302,5,60.4,7.94,45.6
Shivam Mavi,8,26,2,212,9,23.55,8.15,17.3
CJ Green,1,2.5,0,24,0,-,8.47,-
KL Nagarkoti,9,26,0,231,5,46.2,8.88,31.2
M Prasidh Krishna,6,17.3,0,164,4,41,9.37,26.2
AD Russell,7,18,0,175,6,29.16,9.72,18
S Sandeep Warrier,1,3,0,34,0,-,11.33,-
N Rana,2,2,0,23,0,-,11.5,-
