Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
YK Pathan,4,6,0,33,1,33,5.5,36
JW Hastings,2,6.4,1,37,2,18.5,5.55,20
SP Narine,11,42.4,0,304,11,27.63,7.12,23.2
C Munro,2,2,0,15,0,-,7.5,-
PP Chawla,11,35.2,0,273,11,24.81,7.72,19.2
Shakib Al Hasan,9,31,0,243,5,48.6,7.83,37.2
JO Holder,4,13,0,103,2,51.5,7.92,39
AD Russell,12,36.3,0,291,15,19.4,7.97,14.6
Kuldeep Yadav,3,12,0,100,6,16.66,8.33,12
M Morkel,10,35.3,0,297,10,29.7,8.36,21.3
GB Hogg,5,16,1,142,4,35.5,8.87,24
AS Rajpoot,4,11,0,98,3,32.66,8.9,22
UT Yadav,9,26,0,234,10,23.4,9,15.6
R Sathish,3,6,0,59,1,59,9.83,36
JD Unadkat,1,3,0,49,0,-,16.33,-
