Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
A Chandila,4,14,0,86,5,17.2,6.14,16.8
SW Tait,6,22.5,0,151,6,25.16,6.61,22.8
AL Menaria,3,3.2,0,23,1,23,6.9,20
SR Watson,7,23,1,161,6,26.83,7,23
GB Hogg,9,36,0,253,10,25.3,7.02,21.6
J Botha,11,41,0,297,9,33,7.24,27.3
KK Cooper,6,24,1,174,10,17.4,7.25,14.4
SK Trivedi,14,52,1,380,13,29.23,7.3,24
STR Binny,6,10,0,78,3,26,7.8,20
Pankaj Singh,6,21,0,170,7,24.28,8.09,18
AA Chavan,8,27.2,0,236,7,33.71,8.63,23.4
A Singh,9,32.5,0,310,10,31,9.44,19.7
BJ Hodge,2,2,0,21,1,21,10.5,12
