Player,Inns,Runs,Ave,BF,SR,4s,6s
RA Jadeja,13,295,26.81,266,110.9,21,6
NV Ojha,8,168,24,144,116.66,11,11
J Botha,3,47,23.5,40,117.5,5,0
YK Pathan,13,243,20.25,183,132.78,24,12
LA Carseldine,5,81,20.25,68,119.11,11,0
AS Raut,7,78,19.5,61,127.86,5,3
GC Smith,12,212,19.27,216,98.14,27,1
RJ Quiney,7,103,14.71,102,100.98,12,3
SK Warne,11,108,13.5,116,93.1,6,4
SA Asnodkar,8,98,12.25,93,105.37,11,4
MM Patel,5,33,11,26,126.92,5,0
AD Mascarenhas,4,39,9.75,39,100.0,4,0
NK Patel,2,18,9,38,47.36,1,0
M Morkel,1,8,8,8,100.0,1,0
SD Chitnis,1,6,6,8,75.0,1,0
T Henderson,2,11,5.5,16,68.75,0,1
SK Trivedi,3,9,4.5,18,50.0,0,0
PC Valthaty,2,6,3,12,50.0,1,0
Kamran Khan,1,3,3,5,60.0,0,0
A Singh,2,1,1,3,33.33,0,0
M Rawat,3,16,-,19,84.21,1,0
SM Harwood,2,9,-,14,64.28,0,0
