Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
S Nadeem,12,44,1,259,9,28.77,5.88,29.3
RE van der Merwe,3,11,1,71,3,23.66,6.45,22
J Botha,6,16.4,0,109,5,21.8,6.54,20
P Negi,1,4,0,28,0,-,7,-
BMAJ Mendis,2,5,0,36,1,36,7.2,30
IK Pathan,15,51.2,3,382,10,38.2,7.44,30.8
S Kaul,6,21.5,2,170,4,42.5,7.78,32.7
M Morkel,10,40,0,335,7,47.85,8.37,34.2
A Nehra,10,36,0,316,11,28.72,8.77,19.6
UT Yadav,16,57.5,0,508,16,31.75,8.78,21.6
V Sehwag,1,1,0,9,0,-,9,-
AB Agarkar,4,10,0,92,0,-,9.2,-
AD Russell,3,7,0,68,0,-,9.71,-
BJ Rohrer,1,1,0,12,0,-,12,-
