Player,Inns,Runs,Ave,BF,SR,4s,6s
R Vinay Kumar,5,70,70,44,159.09,6,3
CH Gayle,16,708,59,453,156.29,57,51
V Kohli,16,634,45.28,457,138.73,64,22
MC Henriques,9,165,41.25,125,132,20,3
AB de Villiers,14,360,36,219,164.38,34,15
SS Tiwary,6,109,27.25,106,102.83,4,4
CA Pujara,4,92,23,99,92.92,14,0
A Mukund,1,19,19,21,90.47,1,0
TM Dilshan,5,76,15.2,93,81.72,12,0
KB Arun Karthik,5,41,13.66,38,107.89,3,1
MA Agarwal,5,67,13.4,62,108.06,6,3
KL Rahul,2,20,10,16,125,4,0
R Rampaul,6,38,9.5,37,102.7,3,1
J Syed Mohammad,2,10,5,13,76.92,1,0
KK Nair,2,9,4.5,12,75,0,0
DT Christian,2,6,3,15,40,0,0
M Kartik,2,2,2,3,66.66,0,0
A Mithun,1,2,2,2,100,0,0
AB McDonald,1,0,0,2,0,0,0
JD Unadkat,2,2,-,2,100,0,0
