Player,Inns,Runs,Ave,BF,SR,4s,6s
RN ten Doeschate,3,107,53.5,73,146.57,9,5
MK Tiwary,14,359,51.28,325,110.46,26,14
JH Kallis,14,424,35.33,378,112.16,46,6
G Gambhir,15,378,34.36,317,119.24,44,3
YK Pathan,11,283,28.3,201,140.79,24,13
BJ Haddin,1,18,18,11,163.63,2,1
EJG Morgan,9,137,15.22,117,117.09,17,3
Shakib Al Hasan,3,29,14.5,22,131.81,4,0
MS Bisla,5,72,14.4,89,80.89,8,0
LR Shukla,1,14,14,10,140,2,0
R Bhatia,6,25,8.33,22,113.63,3,0
SP Goswami,4,29,7.25,29,100,5,0
MV Boucher,3,6,6,6,100,0,0
B Lee,4,5,1.66,9,55.55,0,0
Iqbal Abdulla,2,15,-,12,125,1,0
L Balaji,2,4,-,2,200,0,0
