Player,Inns,Runs,Ave,BF,SR,4s,6s
DA Warner,14,562,43.23,359,156.54,65,21
MC Henriques,9,287,41,211,136.01,19,13
KS Williamson,2,31,31,27,114.81,1,1
RS Bopara,8,145,29,120,120.83,6,6
KL Rahul,8,142,28.4,126,112.69,8,5
S Dhawan,14,353,27.15,286,123.42,45,6
A Ashish Reddy,5,73,24.33,46,158.69,3,5
EJG Morgan,9,187,23.37,151,123.84,11,11
DW Steyn,3,20,20,13,153.84,3,0
KV Sharma,9,104,17.33,85,122.35,3,6
B Kumar,3,17,17,10,170,2,1
NV Ojha,11,137,13.7,121,113.22,12,4
GH Vihari,4,39,9.75,35,111.42,6,0
P Kumar,4,17,5.66,25,68,1,0
Bipul Sharma,1,1,1,2,50,0,0
Parvez Rasool,1,2,-,2,100,0,0
