Player,Inns,Runs,Ave,BF,SR,4s,6s
V Kohli,10,308,30.8,252,122.22,23,11
TM Head,7,151,30.2,108,139.81,9,6
AB de Villiers,9,216,27,163,132.51,12,16
A Choudhary,3,25,25,20,125,1,1
KM Jadhav,13,267,22.25,186,143.54,25,10
CH Gayle,9,200,22.22,163,122.69,15,14
Mandeep Singh,10,188,18.8,177,106.21,21,4
P Negi,10,144,18,111,129.72,10,7
STR Binny,7,78,15.6,76,102.63,6,3
SR Watson,7,71,11.83,78,91.02,6,1
S Aravind,8,32,8,40,80,2,0
Vishnu Vinod,3,19,6.33,26,73.07,1,1
Sachin Baby,3,15,5,15,100,2,0
YS Chahal,6,13,4.33,26,50,0,0
AF Milne,3,7,3.5,12,58.33,0,0
TS Mills,3,8,2.66,11,72.72,0,1
S Badree,5,13,2.6,23,56.52,0,0
Iqbal Abdulla,1,5,-,7,71.42,0,0
