Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
R Tewatia,3,9,0,49,3,16.33,5.44,18
GJ Maxwell,8,19,0,125,7,17.85,6.57,16.2
AR Patel,14,48,0,362,15,24.13,7.54,19.2
VR Aaron,6,20,0,163,7,23.28,8.15,17.1
Sandeep Sharma,13,48,0,398,17,23.41,8.29,16.9
KC Cariappa,4,15,0,127,4,31.75,8.46,22.5
Swapnil Singh,4,7,0,61,1,61,8.71,42
MM Sharma,14,45.4,0,410,13,31.53,8.97,21
T Natarajan,6,12.4,0,115,2,57.5,9.07,38
I Sharma,6,18,0,179,0,-,9.94,-
MP Stoinis,5,10.3,0,110,2,55,10.47,31.5
Anureet Singh,1,2,0,26,0,-,13,-
MJ Henry,2,5,0,71,1,71,14.2,30
