Player,Inns,Runs,Ave,BF,SR,4s,6s
DA Miller,12,418,59.71,254,164.56,28,24
SE Marsh,8,300,37.5,249,120.48,39,4
LA Pomersbach,3,58,29,59,98.3,5,1
AC Gilchrist,13,294,24.5,229,128.38,41,6
DJ Hussey,11,235,23.5,209,112.44,20,6
R Sathish,8,109,21.8,77,141.55,9,5
M Vohra,10,161,20.12,117,137.6,22,2
Mandeep Singh,14,260,20,223,116.59,36,0
Azhar Mahmood,10,196,19.6,154,127.27,22,5
Gurkeerat Singh,9,108,13.5,95,113.68,10,3
MS Gony,5,45,11.25,25,180,4,3
PP Chawla,11,64,10.66,57,112.28,5,3
P Kumar,7,47,7.83,39,120.51,3,3
PC Valthaty,1,6,6,17,35.29,0,0
Harmeet Singh,1,3,3,4,75,0,0
RJ Harris,2,2,2,5,40,0,0
P Awana,5,1,0.5,9,11.11,0,0
AD Mascarenhas,1,5,-,5,100,0,0
Sandeep Sharma,1,0,-,1,0,0,0
