Player,Inns,Runs,Ave,BF,SR,4s,6s
S Dhawan,10,311,38.87,253,122.92,37,5
DJG Sammy,9,174,29,132,131.81,11,10
DW Steyn,8,53,26.5,36,147.22,5,2
BB Samantray,7,123,24.6,111,110.81,13,2
NLTC Perera,14,233,23.3,163,142.94,12,14
PA Patel,13,294,22.61,255,115.29,37,4
KV Sharma,7,85,21.25,86,98.83,6,2
A Ashish Reddy,10,125,20.83,89,140.44,9,4
CL White,13,209,17.41,191,109.42,18,7
GH Vihari,17,241,17.21,278,86.69,17,1
A Mishra,8,89,14.83,96,92.7,9,0
DB Ravi Teja,2,14,14,17,82.35,0,0
KC Sangakkara,9,120,13.33,136,88.23,13,0
PA Reddy,7,91,13,101,90.09,9,0
X Thalaivan Sargunam,1,10,10,17,58.82,0,0
Q de Kock,3,6,2,15,40,1,0
I Sharma,2,0,-,0,-,0,0
