Player,Inns,Runs,Ave,BF,SR,4s,6s
MEK Hussey,17,733,52.35,566,129.5,81,17
SK Raina,17,548,42.15,365,150.13,50,18
MS Dhoni,16,461,41.9,283,162.89,32,25
RA Jadeja,14,201,25.12,135,148.88,17,6
WP Saha,3,70,23.33,56,125,6,4
M Vijay,15,312,22.28,286,109.09,27,8
S Badrinath,8,124,17.71,121,102.47,11,0
JA Morkel,3,46,15.33,37,124.32,2,3
DJ Bravo,12,121,15.12,106,114.15,11,3
R Ashwin,5,35,8.75,49,71.42,4,0
CH Morris,6,14,7,16,87.5,0,0
B Laughlin,2,4,4,9,44.44,0,0
S Anirudha,1,0,0,2,0,0,0
MM Sharma,2,0,0,5,0,0,0
AS Rajpoot,1,2,-,6,33.33,0,0
DP Nannes,1,0,-,0,-,0,0
