Player,Inns,Runs,Ave,BF,SR,4s,6s
AB de Villiers,14,454,45.4,286,158.74,33,23
V Kohli,15,466,42.36,384,121.35,23,11
D Padikkal,15,473,31.53,379,124.8,51,8
NA Saini,3,27,27,27,100,3,0
AJ Finch,12,268,22.33,241,111.2,28,8
JR Philippe,5,78,19.5,77,101.29,9,1
Washington Sundar,9,111,18.5,95,116.84,10,2
S Dube,9,129,18.42,105,122.85,5,9
Mohammed Siraj,3,17,17,14,121.42,2,0
CH Morris,5,34,8.5,21,161.9,2,3
I Udana,4,15,5,11,136.36,1,1
MM Ali,3,12,4,16,75,1,0
YS Chahal,2,1,1,3,33.33,0,0
UT Yadav,1,0,0,2,0,0,0
Gurkeerat Singh,5,71,-,80,88.75,8,0
Shahbaz Ahmed,1,1,-,1,100,0,0
DW Steyn,1,1,-,2,50,0,0
