Player,Inns,Runs,Ave,BF,SR,4s,6s
EJG Morgan,14,418,41.8,302,138.41,32,24
Shubman Gill,14,440,33.84,373,117.96,44,9
N Rana,14,352,25.14,254,138.58,43,12
RA Tripathi,11,230,23,181,127.07,21,10
PJ Cummins,11,146,20.85,114,128.07,9,8
KD Karthik,14,169,14.08,134,126.11,20,4
SP Narine,9,121,13.44,85,142.35,10,8
AD Russell,9,117,13,81,144.44,9,9
Kuldeep Yadav,2,13,13,21,61.9,1,0
RK Singh,1,11,11,11,100,1,0
T Banton,2,18,9,20,90,1,1
KL Nagarkoti,6,22,7.33,31,70.96,1,0
Shivam Mavi,3,10,5,14,71.42,1,0
CV Varun,3,10,5,15,66.66,0,0
NS Naik,1,1,1,3,33.33,0,0
LH Ferguson,2,43,-,29,148.27,4,1
M Prasidh Krishna,2,2,-,4,50,0,0
