Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
R Rampaul,10,37.4,4,261,13,20.07,6.92,17.3
M Kartik,11,39,0,284,9,31.55,7.28,26
JD Unadkat,13,49,0,370,13,28.46,7.55,22.6
M Muralitharan,6,23,0,177,3,59,7.69,46
Z Khan,2,6,0,47,5,9.4,7.83,7.2
R Vinay Kumar,16,60.1,0,493,23,21.43,8.19,15.6
RP Singh,11,39.5,0,335,13,25.76,8.41,18.3
AB McDonald,1,2,0,17,1,17,8.5,12
MC Henriques,8,21.1,0,185,7,26.42,8.74,18.1
J Syed Mohammad,4,10,0,91,3,30.33,9.1,20
DT Christian,2,6,0,55,0,-,9.16,-
A Mithun,1,4,0,37,1,37,9.25,24
CH Gayle,4,4,0,40,3,13.33,10,8
TM Dilshan,1,1,0,10,0,-,10,-
