Player,Inns,Runs,Ave,BF,SR,4s,6s
LA Pomersbach,5,152,152,99,153.53,13,9
SM Katich,2,96,96,69,139.13,11,2
SE Marsh,11,616,68.44,441,139.68,59,26
KC Sangakkara,9,320,35.55,198,161.61,41,8
WA Mota,2,26,26,27,96.29,2,0
DPMD Jayawardene,12,179,25.57,131,136.64,15,7
Yuvraj Singh,14,299,23,184,162.5,24,19
PP Chawla,7,90,22.5,59,152.54,10,3
IK Pathan,10,131,21.83,116,112.93,9,6
JR Hopes,11,221,20.09,148,149.32,27,8
RR Sarwan,4,73,18.25,75,97.33,6,1
B Lee,3,17,17,13,130.76,2,1
K Goel,6,76,12.66,78,97.43,7,4
TM Srivastava,2,8,8,10,80,0,0
VRV Singh,2,4,2,3,133.33,1,0
S Sohal,2,4,2,8,50,0,0
S Sreesanth,3,0,0,3,0,0,0
RR Powar,1,28,-,21,133.33,4,1
U Kaul,1,0,-,1,0,0,0
