Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
A Kumble,16,59.1,1,347,21,16.52,5.86,16.9
KP Pietersen,4,13,0,85,4,21.25,6.53,19.5
JD Ryder,5,17,0,115,3,38.33,6.76,34
DW Steyn,3,9,0,62,2,31,6.88,27
KP Appanna,5,12,0,87,2,43.5,7.25,36
B Akhil,5,11,0,80,4,20,7.27,16.5
RE van der Merwe,10,34,0,248,9,27.55,7.29,22.6
V Kohli,3,6,0,46,0,-,7.66,-
JH Kallis,14,46,1,353,6,58.83,7.67,46
P Kumar,13,49.4,1,394,13,30.3,7.93,22.9
D du Preez,2,7,1,56,4,14,8,10.5
R Vinay Kumar,11,32.2,0,271,9,30.11,8.38,21.5
Pankaj Singh,3,7,0,65,2,32.5,9.28,21
A Mithun,1,4,0,42,0,-,10.5,-
LRPL Taylor,1,1,0,13,0,-,13,-
