Player,Inns,Runs,Ave,BF,SR,4s,6s
SR Tendulkar,15,618,47.53,466,132.61,86,3
JP Duminy,7,157,31.4,131,119.84,13,5
SS Tiwary,15,419,29.92,309,135.59,29,18
AM Nayar,3,58,29,51,113.72,4,2
AT Rayudu,14,356,27.38,246,144.71,34,13
Harbhajan Singh,7,105,26.25,63,166.66,12,5
Z Khan,4,24,24,13,184.61,3,1
KA Pollard,14,273,22.75,147,185.71,23,17
R McLaren,7,66,22,69,95.65,7,0
S Dhawan,10,191,19.1,170,112.35,23,3
R Sathish,11,112,16,96,116.66,11,0
C Madan,1,15,15,19,78.94,3,0
AP Tare,4,50,12.5,36,138.88,5,3
DJ Bravo,8,61,8.71,53,115.09,3,4
ST Jayasuriya,4,33,8.25,31,106.45,4,1
STR Binny,1,8,8,5,160,1,0
AN Ahmed,1,4,-,7,57.14,0,0
CRD Fernando,1,2,-,2,100,0,0
SL Malinga,2,1,-,1,100,0,0
