Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
M Kartik,10,39,0,253,9,28.11,6.48,26
AB Dinda,7,23.1,0,152,9,16.88,6.56,15.4
Iqbal Abdulla,3,8.3,0,61,1,61,7.17,51
SE Bond,8,31,1,224,9,24.88,7.22,20.6
CK Langeveldt,3,11,0,88,5,17.6,8,13.2
DJ Hussey,5,10,0,80,0,-,8,-
RS Gavaskar,1,1,0,8,0,-,8,-
BJ Hodge,4,5,0,41,2,20.5,8.2,15
JD Unadkat,3,10.2,0,85,4,21.25,8.22,15.5
BAW Mendis,2,8,0,66,2,33,8.25,24
AD Mathews,12,37.3,0,314,8,39.25,8.37,28.1
LR Shukla,4,12,0,106,3,35.33,8.83,24
AB Agarkar,7,22,0,203,4,50.75,9.22,33
I Sharma,7,25,0,236,7,33.71,9.44,21.4
CH Gayle,6,16,0,152,4,38,9.5,24
SC Ganguly,3,4,0,43,0,-,10.75,-
MB Parmar,1,3,0,33,0,-,11,-
MK Tiwary,1,1,0,11,1,11,11,6
