Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
L Balaji,8,30,1,162,11,14.72,5.4,16.3
SP Narine,15,59.1,1,324,24,13.5,5.47,14.7
LR Shukla,2,2,0,12,1,12,6,12
Shakib Al Hasan,8,30,0,195,12,16.25,6.5,15
Iqbal Abdulla,8,22,0,144,4,36,6.54,33
R Bhatia,16,53.1,0,389,13,29.92,7.31,24.5
JH Kallis,16,54,0,403,15,26.86,7.46,21.6
B Lee,10,38,1,299,7,42.71,7.86,32.5
RN ten Doeschate,1,3,0,24,1,24,8,18
YK Pathan,12,22,0,182,3,60.66,8.27,44
PJ Sangwan,1,4,0,42,1,42,10.5,24
JD Unadkat,1,3,0,32,0,-,10.66,-
M de Lange,3,10,0,107,3,35.66,10.7,20
