Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
V Kohli,2,1.5,0,10,0,-,5.45,-
MA Starc,12,43,1,291,20,14.55,6.76,12.9
S Aravind,5,18,0,132,8,16.5,7.33,13.5
HV Patel,14,43.5,0,328,17,19.29,7.48,15.4
CH Gayle,1,2,0,15,0,-,7.5,-
Iqbal Abdulla,5,19,1,150,4,37.5,7.89,28.5
DJG Sammy,2,3,0,25,0,-,8.33,-
D Wiese,13,42.2,0,353,16,22.06,8.33,15.8
YS Chahal,14,46.5,0,415,23,18.04,8.86,12.2
VR Aaron,5,17.2,0,177,3,59,10.21,34.6
AN Ahmed,3,12,0,128,1,128,10.66,72
SA Abbott,2,5,0,57,0,-,11.4,-
AB Dinda,2,5,0,62,0,-,12.4,-
