Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
S Dube,2,1.4,0,8,0,-,4.8,-
MM Ali,9,25,0,169,6,28.16,6.76,25
YS Chahal,14,49.2,1,386,18,21.44,7.82,16.4
Washington Sundar,3,9,0,74,4,18.5,8.22,13.5
NA Saini,13,48,0,397,11,36.09,8.27,26.1
DW Steyn,2,8,0,69,4,17.25,8.62,12
MP Stoinis,6,16.4,0,145,2,72.5,8.7,50
P Negi,4,11.1,0,102,3,34,9.13,22.3
K Khejroliya,2,5,0,46,1,46,9.2,30
Mohammed Siraj,9,28.1,1,269,7,38.42,9.55,24.1
UT Yadav,11,37.5,0,371,8,46.37,9.8,28.3
C de Grandhomme,3,5,0,55,0,-,11,-
TG Southee,3,9,0,118,1,118,13.11,54
P Ray Barman,1,4,0,56,0,-,14,-
