Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
Rashid Khan,17,68,2,458,21,21.8,6.73,19.4
YK Pathan,1,2,0,14,1,14,7,12
Sandeep Sharma,12,44,0,333,12,27.75,7.56,22
B Kumar,12,46.1,1,354,9,39.33,7.66,30.7
CJ Jordan,1,4,0,31,0,-,7.75,-
Shakib Al Hasan,17,57,0,456,14,32.57,8,24.4
DJ Hooda,2,3,0,24,0,-,8,-
B Stanlake,4,16,0,130,5,26,8.12,19.2
S Kaul,17,66,0,547,21,26.04,8.28,18.8
CR Brathwaite,4,10.1,0,94,5,18.8,9.24,12.2
Mohammad Nabi,2,5,0,47,1,47,9.4,30
Basil Thampi,4,10.1,0,114,5,22.8,11.21,12.2
KK Ahmed,1,3,0,38,0,-,12.66,-
