Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
SL Malinga,10,39.1,0,253,16,15.81,6.45,14.6
Harbhajan Singh,14,55,1,356,14,25.42,6.47,23.5
P Kumar,3,12,0,78,3,26,6.5,24
Z Khan,6,22.2,0,146,5,29.2,6.53,26.8
JJ Bumrah,11,39.4,1,301,5,60.2,7.58,47.6
M de Lange,1,4,0,32,2,16,8,12
S Gopal,4,14,0,113,6,18.83,8.07,14
PP Ojha,12,46,1,380,4,95,8.26,69
RG Sharma,2,3,0,26,1,26,8.66,18
CJ Anderson,9,18,0,184,4,46,10.22,27
KA Pollard,12,25,0,262,2,131,10.48,75
K Santokie,2,8,0,90,3,30,11.25,16
LMP Simmons,1,3,0,34,1,34,11.33,18
P Suyal,1,3,0,35,1,35,11.66,18
