Player,Inns,Runs,Ave,BF,SR,4s,6s
YK Pathan,13,361,72.2,248,145.56,33,13
G Gambhir,15,501,38.53,411,121.89,54,6
MK Pandey,11,248,31,183,135.51,17,9
AD Russell,8,188,26.85,114,164.91,10,15
RV Uthappa,15,394,26.26,289,136.33,45,8
SA Yadav,11,182,26,143,127.27,18,5
CA Lynn,2,25,25,22,113.63,0,1
Shakib Al Hasan,7,114,22.8,106,107.54,7,5
C Munro,3,30,10,30,100,3,0
PP Chawla,3,27,9,26,103.84,4,0
UT Yadav,2,9,9,5,180,0,1
R Sathish,3,24,8,24,100,1,1
SP Narine,4,7,7,13,53.84,0,0
JO Holder,4,22,5.5,19,115.78,2,1
M Morkel,2,1,-,1,100,0,0
GB Hogg,1,0,-,0,-,0,0
