Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
Sachin Baby,2,1.4,0,8,2,4,4.8,5
CH Gayle,4,10,0,63,2,31.5,6.3,30
S Aravind,9,29.1,0,216,11,19.63,7.4,15.9
STR Binny,11,17,0,134,1,134,7.88,102
YS Chahal,13,49.1,0,401,21,19.09,8.15,14
Iqbal Abdulla,8,25,0,213,6,35.5,8.52,25
SR Watson,16,56.3,0,485,20,24.25,8.58,16.9
T Shamsi,4,16,0,147,3,49,9.18,32
CJ Jordan,9,28,0,258,11,23.45,9.21,15.2
Parvez Rasool,4,14,0,129,1,129,9.21,84
VR Aaron,8,23.4,0,227,2,113.5,9.59,71
KW Richardson,4,14,0,136,7,19.42,9.71,12
HV Patel,5,14,0,147,1,147,10.5,84
AF Milne,1,4,0,43,1,43,10.75,24
D Wiese,1,4,0,49,0,-,12.25,-
V Kohli,1,1,0,13,0,-,13,-
