Player,Inns,Runs,Ave,BF,SR,4s,6s
CH Gayle,14,733,61.08,456,160.74,46,59
AB de Villiers,13,319,39.87,198,161.11,26,15
TM Dilshan,9,285,35.62,261,109.19,33,5
V Kohli,15,364,28,326,111.65,33,9
SS Tiwary,11,191,23.87,170,112.35,9,8
AB McDonald,3,47,23.5,35,134.28,6,2
MA Agarwal,12,225,20.45,158,142.4,19,15
M Kaif,1,14,14,16,87.5,1,0
R Vinay Kumar,7,68,13.6,62,109.67,3,2
DL Vettori,6,31,7.75,26,119.23,3,1
HV Patel,3,15,7.5,15,100,1,0
Z Khan,5,12,6,17,70.58,1,0
AUK Pathan,2,6,6,7,85.71,0,0
CA Pujara,3,17,5.66,22,77.27,1,1
M Muralitharan,2,6,3,9,66.66,0,0
RR Bhatkal,1,0,0,2,0,0,0
S Aravind,1,14,-,8,175,3,0
J Syed Mohammad,1,4,-,1,400,1,0
P Parameswaran,1,0,-,1,0,0,0
