Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
R Ashwin,14,55,0,400,15,26.66,7.27,22
M Ashwin,10,34,0,255,5,51,7.5,40.8
Mohammed Shami,14,54,0,469,19,24.68,8.68,17
AS Rajpoot,4,16,0,152,3,50.66,9.5,32
Harpreet Brar,2,5,0,48,0,-,9.6,-
GC Viljoen,6,23,0,222,7,31.71,9.65,19.7
SM Curran,9,33,0,323,10,32.3,9.78,19.8
Mujeeb Ur Rahman,5,19,0,191,3,63.66,10.05,38
AJ Tye,6,22,0,233,3,77.66,10.59,44
Arshdeep Singh,3,10,0,109,3,36.33,10.9,20
CV Varun,1,3,0,35,1,35,11.66,18
Mandeep Singh,2,2,0,26,0,-,13,-
SN Khan,1,0.2,0,6,0,-,18,-
