Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
NM Coulter-Nile,1,4,0,27,2,13.5,6.75,12
JP Duminy,11,33,0,240,3,80,7.27,66
WD Parnell,8,30.1,0,223,6,37.16,7.39,30.1
S Nadeem,11,38,0,311,8,38.87,8.18,28.5
Imran Tahir,6,20.5,0,171,9,19,8.2,13.8
Mohammed Shami,12,44,0,369,7,52.71,8.38,37.7
JD Unadkat,9,31.1,0,270,9,30,8.66,20.7
LR Shukla,5,9.2,0,83,1,83,8.89,56
S Kaul,5,13,0,126,2,63,9.69,39
JDS Neesham,4,9,0,91,1,91,10.11,54
R Sharma,2,6,0,65,1,65,10.83,36
R Shukla,3,9,0,98,2,49,10.88,27
M Vijay,1,1,0,13,0,-,13,-
MK Tiwary,1,2,0,28,0,-,14,-
