Player,Inns,Runs,Ave,BF,SR,4s,6s
DJ Hooda,5,101,101,71,142.25,5,5
KL Rahul,14,670,55.83,518,129.34,58,23
K Gowtham,2,42,42,27,155.55,3,2
CH Gayle,7,288,41.14,210,137.14,15,23
MA Agarwal,11,424,38.54,271,156.45,44,15
N Pooran,14,353,35.3,208,169.71,23,25
Mandeep Singh,7,130,21.66,109,119.26,10,4
SN Khan,3,33,16.5,29,113.79,5,0
GJ Maxwell,11,108,15.42,106,101.88,9,0
CJ Jordan,5,29,9.66,31,93.54,2,0
JDS Neesham,3,19,9.5,18,105.55,0,1
KK Nair,3,16,8,14,114.28,2,0
Prabhsimran Singh,2,15,7.5,15,100,2,0
Ravi Bishnoi,3,7,7,12,58.33,1,0
M Ashwin,1,4,4,4,100,0,0
Mohammed Shami,3,2,2,3,66.66,0,0
Mujeeb Ur Rahman,1,1,1,3,33.33,0,0
Arshdeep Singh,1,0,0,3,0,0,0
SS Cottrell,1,0,0,2,0,0,0
