Player,Inns,Runs,Ave,BF,SR,4s,6s
KL Rahul,14,659,54.91,416,158.41,66,32
CH Gayle,11,368,40.88,252,146.03,30,27
DA Miller,3,74,37.0,64,115.62,3,2
KK Nair,12,301,25.08,221,136.19,23,13
MP Stoinis,7,99,24.75,76,130.26,6,4
AJ Finch,9,134,16.75,100,134.0,6,8
MK Tiwary,4,47,15.66,44,106.81,4,1
AR Patel,8,80,13.33,69,115.94,3,4
R Ashwin,9,102,12.75,71,143.66,7,5
MA Agarwal,11,120,12.0,94,127.65,9,5
Yuvraj Singh,6,65,10.83,73,89.04,6,2
Mujeeb Ur Rahman,2,10,10.0,7,142.85,2,0
MM Sharma,4,10,10.0,13,76.92,1,0
AD Nath,1,9,9.0,13,69.23,1,0
AJ Tye,8,32,5.33,38,84.21,2,1
AS Rajpoot,3,11,3.66,18,61.11,1,0
BB Sran,4,3,3.0,7,42.85,0,0
