Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
Sandeep Sharma,14,50,4,350,13,26.92,7,23
M Vijay,2,4,0,28,0,-,7,-
Gurkeerat Singh,3,9,0,66,3,22,7.33,18
BE Hendricks,4,13,0,109,5,21.8,8.38,15.6
AR Patel,14,46.4,0,392,13,30.15,8.4,21.5
Anureet Singh,14,51.4,0,465,15,31,9,20.6
R Dhawan,5,12,0,110,1,110,9.16,72
NLTC Perera,2,6,0,55,1,55,9.16,36
MG Johnson,9,35.5,1,336,9,37.33,9.37,23.8
GJ Maxwell,7,10,0,97,2,48.5,9.7,30
Karanveer Singh,4,14,0,157,1,157,11.21,84
SN Thakur,1,3,0,38,1,38,12.66,18
Shivam Sharma,1,3,0,44,1,44,14.66,18
