Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
TM Dilshan,8,16,0,98,0,-,6.12,-
MF Maharoof,3,10,0,65,4,16.25,6.5,15
R Bhatia,7,21.4,0,146,10,14.6,6.73,13
A Nehra,13,51,1,346,19,18.21,6.78,16.1
A Mishra,11,42,1,294,14,21,7,18
AB McDonald,1,3,0,22,0,-,7.33,-
DP Nannes,13,49.3,0,372,15,24.8,7.51,19.8
PJ Sangwan,13,46.4,1,360,15,24,7.71,18.6
DL Vettori,7,23.1,0,181,7,25.85,7.81,19.8
AM Salvi,5,17,0,134,4,33.5,7.88,25.5
Y Nagar,1,2,0,20,2,10,10,6
MK Tiwary,1,1,0,11,0,-,11,-
VY Mahesh,1,2,0,25,1,25,12.5,12
V Sehwag,1,1,0,25,0,-,25,-
