Player,Inns,Runs,Ave,BF,SR,4s,6s
BB McCullum,4,188,62.66,92,204.34,13,15
WP Saha,10,159,31.8,119,133.61,12,7
SC Ganguly,13,349,29.08,307,113.68,33,15
DJ Hussey,13,319,29,259,123.16,19,17
Salman Butt,7,193,27.57,161,119.87,30,2
LR Shukla,12,163,20.37,122,133.6,17,4
DB Das,6,103,17.16,94,109.57,9,5
Umar Gul,4,39,13,19,205.26,1,5
I Sharma,6,11,11,11,100,1,0
AB Agarkar,6,54,10.8,46,117.39,5,2
T Taibu,3,31,10.33,26,119.23,3,0
M Kartik,3,30,10,27,111.11,3,0
RT Ponting,4,39,9.75,53,73.58,2,1
Mohammad Hafeez,8,64,9.14,83,77.1,7,2
A Chopra,5,42,8.4,52,80.76,5,0
BJ Hodge,3,12,4,17,70.58,2,0
AB Dinda,3,2,2,4,50,0,0
Shoaib Akhtar,1,2,2,7,28.57,0,0
Iqbal Abdulla,1,1,-,2,50,0,0
