Player,Inns,Runs,Ave,BF,SR,4s,6s
AC Gilchrist,7,172,34.4,143,120.27,21,4
DJ Hussey,15,396,33,305,129.83,28,17
DA Miller,6,98,32.66,75,130.66,6,4
SE Marsh,13,336,30.54,280,120,39,7
Gurkeerat Singh,4,86,28.66,52,165.38,12,2
Mandeep Singh,16,432,27,342,126.31,53,7
Bipul Sharma,4,72,24,47,153.19,6,3
Azhar Mahmood,10,186,23.25,142,130.98,16,8
SD Chitnis,4,66,22,62,106.45,7,1
RJ Harris,2,18,18,11,163.63,1,1
AM Nayar,4,45,15,49,91.83,2,1
Harmeet Singh,2,15,15,7,214.28,3,0
N Saini,10,140,14,141,99.29,16,0
JP Faulkner,2,14,14,13,107.69,0,0
PP Chawla,12,106,13.25,88,120.45,9,4
P Kumar,7,35,11.66,30,116.66,2,1
P Dogra,3,15,7.5,24,62.5,0,0
PC Valthaty,6,30,5,51,58.82,4,0
AD Mascarenhas,3,14,4.66,16,87.5,1,0
BA Bhatt,1,6,-,2,300,0,1
P Awana,2,4,-,5,80,0,0
