Player,Inns,Runs,Ave,BF,SR,4s,6s
AB de Villiers,11,480,53.33,275,174.54,39,30
V Kohli,14,530,48.18,381,139.1,52,18
PA Patel,6,153,30.6,109,140.36,20,4
C de Grandhomme,8,131,26.2,84,155.95,4,10
TG Southee,4,52,26,46,113.04,5,1
Mandeep Singh,13,252,25.2,186,135.48,16,11
Q de Kock,8,201,25.12,162,124.07,20,8
Washington Sundar,6,65,21.66,38,171.05,5,4
BB McCullum,6,127,21.16,88,144.31,16,6
MM Ali,4,77,19.25,46,167.39,4,6
M Vohra,4,55,13.75,47,117.02,2,4
Mohammed Siraj,4,25,12.5,22,113.63,2,1
SN Khan,6,51,10.2,41,124.39,7,1
CR Woakes,4,17,8.5,19,89.47,1,1
CJ Anderson,3,17,5.66,22,77.27,0,1
P Negi,2,3,1.5,5,60,0,0
M Ashwin,1,1,1,2,50,0,0
UT Yadav,5,3,0.75,11,27.27,0,0
YS Chahal,1,0,-,4,0,0,0
