Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
Mohammad Nabi,3,11,0,58,2,29,5.27,33
Rashid Khan,14,54,0,358,17,21.05,6.62,19
B Kumar,14,52.2,0,369,26,14.19,7.05,12
Bipul Sharma,7,16.2,0,129,3,43,7.89,32.6
S Kaul,10,35.4,0,300,16,18.75,8.41,13.3
CJ Jordan,1,1,0,9,1,9,9,6
Mohammed Siraj,6,23,0,212,10,21.2,9.21,13.8
A Nehra,6,21.1,0,197,8,24.62,9.3,15.8
BCJ Cutting,4,12.4,0,123,1,123,9.71,76
MC Henriques,12,24,0,248,1,248,10.33,144
DJ Hooda,3,4,0,42,2,21,10.5,12
Yuvraj Singh,2,2,0,22,1,22,11,12
Mustafizur Rahman,1,2.4,0,34,0,-,12.75,-
BB Sran,1,2,0,29,0,-,14.5,-
