Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
DW Steyn,12,46.4,2,285,18,15.83,6.1,15.5
AA Jhunjhunwala,3,6,0,38,1,38,6.33,36
Ankit Sharma,9,24.1,0,165,4,41.25,6.82,36.2
A Mishra,14,47,0,377,13,29,8.02,21.6
J Theron,2,8,0,66,2,33,8.25,24
MS Gony,6,24,0,207,3,69,8.62,48
DT Christian,7,27,0,233,8,29.12,8.62,20.2
JP Duminy,6,12,0,104,1,104,8.66,72
DJ Harris,2,3,0,26,0,-,8.66,-
V Pratap Singh,9,34,0,296,10,29.6,8.7,20.4
A Ashish Reddy,9,27.1,0,237,11,21.54,8.72,14.8
CL White,2,3,0,27,0,-,9,-
S Dhawan,4,6,0,55,3,18.33,9.16,12
Anand Rajan,4,11.5,0,109,3,36.33,9.21,23.6
TP Sudhindra,3,11.4,0,136,1,136,11.65,70
