Player,Inns,Runs,Ave,BF,SR,4s,6s
UT Yadav,8,38,38,38,100,3,1
BJ Rohrer,8,193,32.16,140,137.85,21,5
DA Warner,16,410,31.53,323,126.93,41,14
V Sehwag,13,295,24.58,233,126.6,41,6
DPMD Jayawardene,15,331,22.06,313,105.75,39,6
CM Gautam,3,44,22,34,129.41,4,1
KM Jadhav,10,152,21.71,124,122.58,8,5
MC Juneja,7,125,17.85,128,97.65,11,1
IK Pathan,13,142,17.75,152,93.42,9,3
UBT Chand,9,158,17.55,158,100,17,4
B Chipli,1,16,16,18,88.88,1,1
AB Agarkar,2,12,12,16,75,0,0
M Morkel,6,57,11.4,29,196.55,6,2
RE van der Merwe,2,22,11,25,88,2,0
NV Ojha,2,9,9,10,90,1,0
BMAJ Mendis,3,23,7.66,27,85.18,0,0
J Botha,6,43,7.16,52,82.69,5,1
AD Russell,2,11,5.5,14,78.57,0,0
S Nadeem,6,14,2.8,27,51.85,1,0
A Nehra,4,1,0.25,8,12.5,0,0
S Kaul,2,7,-,9,77.77,0,0
