Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
JP Duminy,2,5.3,0,37,1,37,6.72,33
SL Malinga,13,49,0,344,15,22.93,7.02,19.6
Harbhajan Singh,14,53.3,1,377,17,22.17,7.04,18.8
CRD Fernando,5,19,0,134,7,19.14,7.05,16.2
KA Pollard,12,37,0,274,15,18.26,7.4,14.8
ST Jayasuriya,4,9,0,68,2,34,7.55,27
AG Murtaza,3,12,0,91,3,30.33,7.58,24
Z Khan,14,48.2,1,376,15,25.06,7.77,19.3
R McLaren,10,34,0,270,4,67.5,7.94,51
DJ Bravo,10,26.1,0,228,4,57,8.71,39.2
STR Binny,1,1,0,9,0,-,9,-
DS Kulkarni,1,4,0,40,1,40,10,24
R Sathish,4,8,0,81,2,40.5,10.12,24
AN Ahmed,1,2,0,26,0,-,13,-
