Player,Inns,Runs,Ave,BF,SR,4s,6s
V Kohli,16,973,81.08,640,152.03,83,38
AB de Villiers,16,687,52.84,407,168.79,57,37
KL Rahul,12,397,44.11,271,146.49,37,16
SN Khan,4,66,33,31,212.9,7,4
Sachin Baby,6,119,29.75,79,150.63,9,5
TM Head,3,54,27,40,135,3,2
CH Gayle,10,227,22.7,150,151.33,17,21
STR Binny,6,63,15.75,39,161.53,5,4
SR Watson,15,179,13.76,134,133.58,14,12
Parvez Rasool,1,10,10,9,111.11,1,0
CJ Jordan,1,3,3,4,75,0,0
KM Jadhav,3,42,-,32,131.25,2,2
Iqbal Abdulla,2,37,-,27,137.03,4,1
D Wiese,1,5,-,4,125,0,0
KW Richardson,1,1,-,1,100,0,0
VR Aaron,1,0,-,0,-,0,0
HV Patel,1,0,-,0,-,0,0
