Player,Inns,Runs,Ave,BF,SR,4s,6s
MK Pandey,13,396,49.5,308,128.57,28,12
CA Lynn,7,295,49.16,163,180.98,25,19
G Gambhir,16,498,41.5,389,128.02,62,7
IR Jaggi,2,33,33,39,84.61,3,0
RV Uthappa,13,388,29.84,235,165.1,36,21
SP Jackson,3,38,19,31,122.58,5,0
YK Pathan,11,143,17.87,115,124.34,9,6
SA Yadav,7,105,17.5,88,119.31,8,3
SP Narine,14,224,17.23,130,172.3,34,10
C de Grandhomme,9,126,15.75,92,136.95,10,6
CR Woakes,7,46,11.5,47,97.87,4,1
Kuldeep Yadav,2,20,10,22,90.9,2,0
NM Coulter-Nile,3,14,4.66,12,116.66,0,2
AS Rajpoot,1,4,4,7,57.14,1,0
PP Chawla,1,2,2,6,33.33,0,0
UT Yadav,4,10,-,13,76.92,0,0
DM Bravo,1,6,-,5,120.0,1,0
TA Boult,1,5,-,8,62.5,0,0
Shakib Al Hasan,1,1,-,1,100.0,0,0
