Player,Inns,Runs,Ave,BF,SR,4s,6s
ST Jayasuriya,14,514,42.83,309,166.34,57,31
RV Uthappa,14,320,35.55,279,114.69,34,9
YV Takawale,4,70,35,65,107.69,7,2
SR Tendulkar,7,188,31.33,177,106.21,26,2
DJ Bravo,7,178,29.66,134,132.83,19,5
AM Nayar,10,206,25.75,138,149.27,16,9
DJ Thornely,4,39,19.5,53,73.58,2,2
SM Pollock,8,147,18.37,111,132.43,12,8
DR Smith,3,45,15,40,112.5,5,1
Harbhajan Singh,3,30,15,17,176.47,1,3
SS Tiwary,2,26,13,20,130,3,1
MA Khote,3,24,12,22,109.09,2,1
SD Chitnis,2,18,9,10,180,1,1
L Ronchi,4,34,8.5,32,106.25,6,1
PR Shah,4,34,8.5,35,97.14,4,0
A Nehra,4,3,3,13,23.07,0,0
AM Rahane,2,4,2,17,23.52,1,0
VS Yeligati,1,2,2,2,100,0,0
MK Pandey,2,3,1.5,9,33.33,0,0
A Nel,1,0,0,0,-,0,0
RR Raje,3,8,-,9,88.88,1,0
CRD Fernando,1,2,-,1,200,0,0
DS Kulkarni,1,2,-,16,12.5,0,0
