Player,Inns,Runs,Ave,BF,SR,4s,6s
AB de Villiers,13,465,51.66,355,130.98,39,12
TM Dilshan,13,418,41.8,341,122.58,42,13
KD Karthik,13,288,36,217,132.71,20,9
M Manhas,6,75,25,62,120.96,7,1
DA Warner,7,163,23.28,132,123.48,16,5
G Gambhir,15,286,22,278,102.87,32,2
MF Maharoof,2,21,21,21,100,0,0
Y Nagar,1,20,20,20,100,1,0
V Sehwag,11,198,19.8,138,143.47,24,7
DL Vettori,4,34,17,32,106.25,3,0
MK Tiwary,1,9,9,13,69.23,1,0
A Mishra,5,26,8.66,20,130,2,2
PJ Sangwan,5,6,6,10,60,0,0
AB McDonald,1,3,3,4,75,0,0
R Bhatia,5,8,1.6,18,44.44,1,0
A Nehra,2,1,-,1,100,0,0
