Player,Inns,Runs,Ave,BF,SR,4s,6s
SPD Smith,15,472,39.33,387,121.96,38,12
MK Tiwary,13,324,32.4,236,137.28,31,11
BA Stokes,11,316,31.6,221,142.98,22,15
RA Tripathi,14,391,27.92,267,146.44,43,17
MS Dhoni,15,290,26.36,250,116.0,15,16
AM Rahane,16,382,25.46,323,118.26,35,9
Ankit Sharma,1,25,25,15,166.66,2,1
R Bhatia,2,16,16,17,94.11,0,1
DT Christian,9,79,15.8,49,161.22,5,5
DL Chahar,1,14,14,6,233.33,0,2
Washington Sundar,5,9,9,12,75.0,0,0
MA Agarwal,3,26,8.66,27,96.29,3,0
F du Plessis,1,8,8,7,114.28,1,0
AB Dinda,1,7,7,7,100.0,1,0
A Zampa,1,5,5,7,71.42,1,0
SN Thakur,3,0,0,3,0.0,0,0
RD Chahar,1,3,-,2,150.0,0,0
JD Unadkat,2,2,-,5,40.0,0,0
LH Ferguson,1,1,-,1,100.0,0,0
Imran Tahir,1,0,-,2,0.0,0,0
