Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
RG Sharma,2,1.2,0,6,0,-,4.5,-
JDP Oram,1,4,0,22,0,-,5.5,-
AN Ahmed,2,7,0,45,3,15,6.42,14
Harbhajan Singh,19,70,0,456,24,19,6.51,17.5
P Suyal,1,3,0,21,1,21,7,18
SL Malinga,17,65.2,0,468,20,23.4,7.16,19.6
MG Johnson,17,64,0,459,24,19.12,7.17,16
NM Coulter-Nile,1,4,0,29,1,29,7.25,24
R Dhawan,5,15,1,109,2,54.5,7.26,45
PP Ojha,15,52.2,0,381,16,23.81,7.28,19.6
DS Kulkarni,6,18.4,0,151,8,18.87,8.08,14
YS Chahal,1,4,0,34,0,-,8.5,-
MM Patel,4,15,0,137,3,45.66,9.13,30
KA Pollard,14,31,0,292,10,29.2,9.41,18.6
JJ Bumrah,2,7,0,70,3,23.33,10,14
GJ Maxwell,2,2,0,23,0,-,11.5,-
DR Smith,3,5,0,59,2,29.5,11.8,15
