Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
AG Murtaza,5,20,0,117,3,39,5.85,40
SL Malinga,16,63,2,375,28,13.39,5.95,13.5
MM Patel,15,54.2,1,358,22,16.27,6.58,14.8
Harbhajan Singh,15,53,1,370,14,26.42,6.98,22.7
DS Kulkarni,6,20,0,149,5,29.8,7.45,24
R Sathish,4,5.1,0,41,0,-,7.93,-
TL Suman,3,6,0,50,0,-,8.33,-
AN Ahmed,6,20,1,169,5,33.8,8.45,24
KA Pollard,16,42.3,0,361,10,36.1,8.49,25.5
JEC Franklin,6,10.1,0,99,3,33,9.73,20.3
A Symonds,3,4,0,41,1,41,10.25,24
RW Price,1,3,0,33,0,-,11,-
RG Sharma,3,4,0,53,0,-,13.25,-
